iTrial 	StimPic 	StimOn 	StimOff 	RT 	Resp 	Correct_Ans 	StimVal 	StimType 
1	gemiddeld	5244	8759	0	2	0	0	1
1	vergelijk	9773	13285	0	2	0	0	1
1	gelaten	14298	17810	0	2	0	0	1
1	attent	18823	22335	0	2	0	0	1
1	zwemmen	23347	26861	0	2	0	0	1
1	kieskeurig	27873	31386	0	2	0	0	1
1	slachting	32397	35911	0	2	0	0	1
1	ziekte	36922	40436	0	2	0	0	1
1	tiran	41448	44962	0	2	0	0	1
1	tekenfilm	45974	49487	0	2	0	0	1
1	keel	50499	54012	0	2	0	0	1
1	vulgair	55025	58537	0	2	0	0	1
1	infectie	59549	63063	0	2	0	0	1
1	welopgevoed	64076	67588	0	2	0	0	1
1	rusland	68599	72113	0	2	0	0	1
1	vrouw	73125	76638	0	2	0	0	1
1	darm	77652	81164	0	2	0	0	1
1	ansjovis	82176	85689	0	2	0	0	1
1	baby	86702	90214	0	2	0	0	1
1	trompet	91226	94739	0	2	0	0	1
1	opvallend	95750	99265	0	2	0	0	1
1	duin	100275	103790	0	2	0	0	1
1	warmte	104803	108315	0	2	0	0	4
1	ruw	109326	112840	0	2	0	0	1
1	veranderlijk	113852	117366	0	2	0	0	1
1	zorgen	118379	121891	0	2	0	0	1
1	jeugd	122902	126416	0	2	0	0	1
1	trapezium	127428	130941	0	2	0	0	1
1	priester	131954	135467	0	2	0	0	1
1	lijn	136479	139992	0	2	0	0	1
1	wellevend	141006	144517	0	2	0	0	1
1	sadist	145531	149043	0	2	0	0	1
1	bekrompen	150057	153568	0	2	0	0	1
1	vals	154580	158093	0	2	0	0	1
1	lente	159105	162618	0	2	0	0	1
1	vakantie	163630	167144	0	2	0	0	1
1	breeddenkend	168156	171669	0	2	0	0	1
1	goud	172680	176194	0	2	0	0	1
1	afstotelijk	177208	180719	0	2	0	0	1
1	piraat	181731	185245	0	2	0	0	1
1	harteloos	186257	189770	0	2	0	0	1
1	ziektekiem	190781	194295	0	2	0	0	1
1	competent	195306	198820	0	2	0	0	1
1	koorts	199833	203346	0	2	0	0	5
1	oorlog	204357	207871	0	2	0	0	1
1	revolver	208883	212396	0	2	0	0	1
1	tandarts	213409	216921	0	2	0	0	1
1	dagdroom	217933	221447	0	2	0	0	1
1	egoistisch	222458	225972	0	2	0	0	1
1	schade	226985	230497	0	2	0	0	1
1	humor	231509	235022	0	2	0	0	1
1	bazig	236034	239548	0	2	0	0	1
1	straling	240559	244073	0	2	0	0	1
1	alert	245086	248598	0	2	0	0	1
1	vakkundig	249610	253123	0	2	0	0	1
1	autobus	254135	257649	0	2	0	0	1
1	gezondheid	258660	262174	0	2	0	0	1
1	hagedis	263188	266699	0	2	0	0	1
1	lijk	267711	271224	0	2	0	0	1
1	slager	272236	275750	0	2	0	0	1
2	3	11646431	11646932	0	0	0	0	4
2	4	11648349	11648853	0	0	0	0	4
2	2	11650260	11650791	0	0	0	0	0
2	3	11652164	11652677	0	0	0	0	0
2	3	11654067	11654598	0	0	0	0	0
2	3	11655971	11656502	0	0	0	0	2
2	5	11657875	11658388	0	0	0	0	0
2	3	11659795	11660308	0	0	0	0	2
2	2	11661700	11662229	0	0	0	0	0
2	3	11663620	11664132	0	0	0	0	2
2	2	11665540	11666052	0	0	0	0	2
2	5	11667460	11667972	0	0	0	0	0
2	2	11669380	11669893	0	0	0	0	2
2	4	11671283	11671814	0	0	0	0	0
2	5	11673187	11673718	0	0	0	0	0
2	3	11675091	11675604	0	0	0	0	0
2	5	11677012	11677524	0	0	0	0	2
2	1	11678932	11679444	0	0	0	0	0
2	1	11680852	11681382	0	0	0	0	0
2	2	11682774	11683285	0	0	0	0	0
2	3	11684692	11685205	0	0	0	0	0
2	1	11686597	11687109	0	0	0	0	0
2	4	11688518	11689029	0	0	0	0	0
2	4	11690437	11690967	0	0	0	0	0
2	4	11692356	11692870	0	0	0	0	2
