Trial_Type	Stim_Shown	Stim_Valence	Trial_On	Trial_Off	ReactionTime	Button_Press	Correct_Resp	Block_On	Block_Off	ExperimentOn/Off
2	5	0	14033	14433	0	0	0	14033	0	8015	0
2	3	0	15836	16229	0	0	0	14033	0	8015	0
2	1	0	17635	18032	0	0	0	14033	0	8015	0
2	4	0	19435	19829	0	0	0	14033	0	8015	0
2	4	0	21235	21629	0	0	0	14033	0	8015	0
2	1	0	23036	23429	0	0	0	14033	0	8015	0
2	2	0	24835	25229	0	0	0	14033	0	8015	0
2	2	0	26637	27028	0	0	0	14033	0	8015	0
2	5	0	28435	28828	0	0	0	14033	0	8015	0
2	2	0	30235	30628	0	0	1	14033	0	8015	0
2	1	0	32034	32428	0	0	0	14033	0	8015	0
2	2	0	33834	34228	0	0	1	14033	0	8015	0
2	2	0	35635	36028	0	0	0	14033	0	8015	0
2	5	0	37435	37828	0	0	0	14033	0	8015	0
2	5	0	39237	39628	0	0	0	14033	0	8015	0
3	mem_neu_86.bmp	1	51351	56064	3884	1	4	47048	41036	8015	0
3	mem_neu_56.bmp	1	58360	65097	699	3	4	47048	41036	8015	0
3	mem_neg_79.bmp	2	68927	74130	0	0	4	47048	41036	8015	0
1	odd_neg_67.bmp	0	80147	80940	0	0	0	80147	74135	8015	0
1	odd_neu_1.bmp	1	82392	83187	0	0	0	80147	74135	8015	0
1	odd_neu_1.bmp	1	84628	85422	0	0	0	80147	74135	8015	0
1	odd_neu_1.bmp	1	86861	87713	0	0	0	80147	74135	8015	0
